"well_ID","time_min","treatment","enzyme","absorbance","substrate"
"A7",5.5,"A","HoP",0.0796,"MBTH/DMAB"
"A8",5.5,"B","HoP",0.0799,"MBTH/DMAB"
"B1",5.5,"A_H2O2","MnP",0.6923,"MBTH/DMAB"
"B2",5.5,"B_H2O2","MnP",0.0655,"MBTH/DMAB"
"B3",5.5,"A","MnP",0.0834,"MBTH/DMAB"
"B4",5.5,"B","MnP",0.0622,"MBTH/DMAB"
"B5",5.5,"A_H2O2","HoP",0.4588,"MBTH/DMAB"
"B6",5.5,"B_H2O2","HoP",0.433,"MBTH/DMAB"
"B7",5.5,"A","HoP",0.0798,"MBTH/DMAB"
"B8",5.5,"B","HoP",0.0808,"MBTH/DMAB"
"C1",5.5,"A_H2O2","MnP",0.6326,"MBTH/DMAB"
"C2",5.5,"B_H2O2","MnP",0.0654,"MBTH/DMAB"
"C3",5.5,"A","MnP",0.0824,"MBTH/DMAB"
"C4",5.5,"B","MnP",0.0632,"MBTH/DMAB"
"C5",5.5,"A_H2O2","HoP",0.4485,"MBTH/DMAB"
"C6",5.5,"B_H2O2","HoP",0.4807,"MBTH/DMAB"
"C7",5.5,"A","HoP",0.0793,"MBTH/DMAB"
"C8",5.5,"B","HoP",0.0818,"MBTH/DMAB"
"D1",5.5,"A_H2O2","MnP",0.5743,"MBTH/DMAB"
"D2",5.5,"B_H2O2","MnP",0.0648,"MBTH/DMAB"
"D3",5.5,"A","MnP",0.0841,"MBTH/DMAB"
"D4",5.5,"B","MnP",0.0642,"MBTH/DMAB"
"D5",5.5,"A_H2O2","HoP",0.4458,"MBTH/DMAB"
"D6",5.5,"B_H2O2","HoP",0.4522,"MBTH/DMAB"
"D7",5.5,"A","HoP",0.0798,"MBTH/DMAB"
"D8",5.5,"B","HoP",0.0817,"MBTH/DMAB"
"A1",6,"A_H2O2","MnP",0.6242,"MBTH/DMAB"
"A2",6,"B_H2O2","MnP",0.0606,"MBTH/DMAB"
"A3",6,"A","MnP",0.084,"MBTH/DMAB"
"A4",6,"B","MnP",0.0614,"MBTH/DMAB"
"A5",6,"A_H2O2","HoP",0.4879,"MBTH/DMAB"
"A6",6,"B_H2O2","HoP",0.4893,"MBTH/DMAB"
"A7",6,"A","HoP",0.0804,"MBTH/DMAB"
"A8",6,"B","HoP",0.0813,"MBTH/DMAB"
"B1",6,"A_H2O2","MnP",0.7091,"MBTH/DMAB"
"B2",6,"B_H2O2","MnP",0.0663,"MBTH/DMAB"
"B3",6,"A","MnP",0.0838,"MBTH/DMAB"
"B4",6,"B","MnP",0.0627,"MBTH/DMAB"
"B5",6,"A_H2O2","HoP",0.4877,"MBTH/DMAB"
"B6",6,"B_H2O2","HoP",0.4601,"MBTH/DMAB"
"B7",6,"A","HoP",0.0805,"MBTH/DMAB"
"B8",6,"B","HoP",0.082,"MBTH/DMAB"
"C1",6,"A_H2O2","MnP",0.6393,"MBTH/DMAB"
"C2",6,"B_H2O2","MnP",0.0663,"MBTH/DMAB"
"C3",6,"A","MnP",0.0834,"MBTH/DMAB"
"C4",6,"B","MnP",0.0636,"MBTH/DMAB"
"C5",6,"A_H2O2","HoP",0.4759,"MBTH/DMAB"
"C6",6,"B_H2O2","HoP",0.5118,"MBTH/DMAB"
"C7",6,"A","HoP",0.0808,"MBTH/DMAB"
"C8",6,"B","HoP",0.083,"MBTH/DMAB"
"D1",6,"A_H2O2","MnP",0.5891,"MBTH/DMAB"
"D2",6,"B_H2O2","MnP",0.0655,"MBTH/DMAB"
"D3",6,"A","MnP",0.0848,"MBTH/DMAB"
"D4",6,"B","MnP",0.0646,"MBTH/DMAB"
"D5",6,"A_H2O2","HoP",0.4696,"MBTH/DMAB"
"D6",6,"B_H2O2","HoP",0.4772,"MBTH/DMAB"
